Técnica,Tempo,accuracy,balanced_accuracy,precision,recall,f1
KNeighborsClassifier,0.0208,0.7679,0.7157,0.5834,0.6126,0.5851
MLPClassifier,186.1662,0.7983,0.7087,0.6202,0.5318,0.5626
PassiveAggressiveClassifier,0.0402,0.8023,0.6973,0.6275,0.4899,0.5382
RandomForestClassifier,11.8737,0.7999,0.6855,0.6420,0.4593,0.5247
SGDClassifier,0.0314,0.8075,0.6901,0.6596,0.4581,0.5225
ExtraTreesClassifier,18.5314,0.8044,0.6905,0.6337,0.4655,0.5204
LinearSVC,0.0848,0.8106,0.6886,0.6534,0.4476,0.5138
DecisionTreeClassifier,3.3647,0.7523,0.6684,0.5342,0.5028,0.5128
RidgeClassifier,0.0742,0.8124,0.6846,0.6614,0.4320,0.5034
BaggingClassifier,18.4269,0.7768,0.6651,0.5914,0.4442,0.4982
ExtraTreeClassifier,0.1909,0.7504,0.6622,0.5113,0.4880,0.4895
AdaBoostClassifier,3.0481,0.7564,0.6463,0.5640,0.4286,0.4760
SVC,13.0540,0.8237,0.6807,0.7168,0.3983,0.4742
GradientBoostingClassifier,13.0546,0.8028,0.6362,0.6526,0.3068,0.4121
DummyClassifier,0.0152,0.7529,0.5000,0.0000,0.0000,0.0000
NuSVC,0.0438,,,,,
